LOCALIDAD;Lon;Lat;Province
SANTAELLA;-4.87916667;37.57388889;CORDOBA
SANTAELLA;-4.86547222;37.54436111;CORDOBA
SANTAELLA;-4.86780556;37.50605556;CORDOBA
FUENTE OBEJUNA;-5.43;38.2675;CORDOBA
MORILES;-4.64361111;37.40972222;CORDOBA
VILLAVICIOSA DE CORDOBA;-5.06666667;38.0925;CORDOBA
LOS MARINES;-6.62518056;37.90111111;HUELVA
GIBRALEï¿½N;-6.96777778;37.38333333;HUELVA
SAN JUAN DEL PUERTO;-6.84611111;37.31972222;HUELVA
FUENTEHERIDOS;-6.6575;37.90361111;HUELVA
BEAS;-6.79890556;37.43065556;HUELVA
LINARES DE LA SIERRA;-6.62205833;37.8826;HUELVA
VILLANUEVA DE LOS CASTILLEJOS;-7.18611111;37.41111111;HUELVA
HINOJOS;-6.34527778;37.15694444;HUELVA
CARTAYA;-7.14694444;37.33083333;HUELVA
EL ROCIO;-6.48036389;37.13110278;HUELVA
HUELVA;-6.87194611;37.30805972;HUELVA
EL ROCIO;-6.47838889;37.13373056;HUELVA
ALMONTE;-6.47333333;37.13305556;HUELVA
HUELVA;-6.95366667;37.26811111;HUELVA
HUELVA;-6.94177778;37.28116667;HUELVA
GRANADO (EL);-7.45;37.54166667;HUELVA
HUELVA;-6.94583333;37.25611111;HUELVA
HUELVA;-6.92790278;37.26393056;HUELVA
HUELVA;-6.94083333;37.26708333;HUELVA
HUELVA;-6.94616667;37.26047222;HUELVA
HUELVA;-6.95;37.25883333;HUELVA
HUELVA;-6.94061111;37.25675;HUELVA
HUELVA;-6.93772222;37.27072222;HUELVA
HUELVA;-6.93472222;37.28147222;HUELVA
HUELVA;-6.92452778;37.27677778;HUELVA
HUELVA;-6.93938889;37.26013889;HUELVA
HUELVA;-6.95032778;37.24223056;HUELVA
HUELVA;-6.95527778;37.25713889;HUELVA
HUELVA;-6.91527778;37.26341667;HUELVA
HUELVA;-6.94684167;37.26964444;HUELVA
HUELVA;-6.96033333;37.26177222;HUELVA
ALMONTE;-6.55916667;37.01;HUELVA
ALMONTE;-6.55138889;36.99972222;HUELVA
ALMONTE;-6.37416667;36.83694444;HUELVA
ALMONTE;-6.53472222;36.99055556;HUELVA
MATALASCAï¿½AS;-6.53994444;36.99430556;HUELVA
HUELVA;-6.89527778;37.31333333;HUELVA
CARTAYA;-7.09944444;37.22222222;HUELVA
CARTAYA;-7.0525;37.21472222;HUELVA
CARTAYA;-7.12777778;37.22055556;HUELVA
CARTAYA;-7.11055556;37.22138889;HUELVA
ISLA CRISTINA;-7.31909444;37.19958611;HUELVA
NUEVO_PORTIL;-7.07282778;37.21601944;HUELVA
HUELVA;-6.9575;37.25138889;HUELVA
ISLA CRISTINA;-7.24694444;37.20722222;HUELVA
ISLA CRISTINA;-7.32560556;37.20111639;HUELVA
CARTAYA;-7.07055556;37.32194444;HUELVA
ISLA CRISTINA;-7.30981667;37.19882667;HUELVA
ISLA CRISTINA;-7.31138889;37.24444444;HUELVA
LEPE;-7.21805556;37.20805556;HUELVA
LEPE;-7.20472222;37.21055556;HUELVA
LEPE;-7.22722222;37.21333333;HUELVA
